Category of impact,Location,Production,Transport à l'usine,transformation,Transport au marché
Climate change,MADIMBA,16.117455138662315,1.543230016313214,65.08972267536704,3.5399673735725936
Climate change,KINSHASA,19.249592169657422,15.432300163132137,65.08972267536704,0.35399673735725934
Climate change,MATADI,15.62805872756933,2.463295269168026,3.866231647634584,7.096247960848287
Climate change,PLATEAU,19.249592169657422,3.0831973898858074,65.08972267536704,5.318107667210441
Ozone depletion,MADIMBA,5.487646293888167,2.184655396618986,68.79063719115734,5.032509752925878
Ozone depletion,KINSHASA,8.790637191157346,21.846553966189855,68.79063719115734,0.5032509752925878
Ozone depletion,MATADI,2.808842652795839,3.276983094928479,29.518855656697006,10.065019505851756
Ozone depletion,PLATEAU,8.790637191157346,4.382314694408322,68.79063719115734,7.555266579973993
Terrestrial acidification,MADIMBA,6.85459940652819,1.400593471810089,75.07418397626112,3.2047477744807122
Terrestrial acidification,KINSHASA,10.534124629080118,14.00593471810089,75.07418397626112,0.32047477744807124
Terrestrial acidification,MATADI,3.7982195845697326,1.2166172106824926,6.023738872403561,6.439169139465875
Terrestrial acidification,PLATEAU,10.534124629080118,2.7982195845697326,75.07418397626112,4.83679525222552
Freshwater eutrophication,MADIMBA,99.69604863221883,0.005045592705167174,0.17051671732522797,0.011641337386018236
Freshwater eutrophication,KINSHASA,99.69604863221883,0.050455927051671734,0.17051671732522797,0.0011641337386018237
Freshwater eutrophication,MATADI,63.829787234042556,0.00044680851063829785,0.008966565349544073,0.023252279635258357
Freshwater eutrophication,PLATEAU,99.69604863221883,0.010121580547112463,0.17051671732522797,0.017446808510638297
Marine eutrophication,MADIMBA,7.365269461077845,1.4431137724550898,74.25149700598801,3.3173652694610776
Marine eutrophication,KINSHASA,11.137724550898202,14.431137724550897,74.25149700598801,0.3317365269461078
Marine eutrophication,MATADI,4.1736526946107775,1.0,2.089820359281437,6.646706586826347
Marine eutrophication,PLATEAU,11.137724550898202,2.8862275449101795,74.25149700598801,4.976047904191616
Human toxicity,MADIMBA,5.5364238410596025,2.423841059602649,66.35761589403974,5.562913907284769
Human toxicity,KINSHASA,8.860927152317881,24.23841059602649,66.35761589403974,0.5562913907284768
Human toxicity,MATADI,2.8344370860927155,0.6476821192052981,3.509933774834437,11.125827814569538
Human toxicity,PLATEAU,8.860927152317881,4.8344370860927155,66.35761589403974,8.344370860927153
Photochemical oxidant formation,MADIMBA,7.242798353909465,1.4279835390946503,74.48559670781893,3.2921810699588474
Photochemical oxidant formation,KINSHASA,11.02880658436214,14.279835390946499,74.48559670781893,0.3292181069958848
Photochemical oxidant formation,MATADI,4.0740740740740735,10.864197530864198,2.9218106995884767,6.563786008230453
Photochemical oxidant formation,PLATEAU,11.02880658436214,2.8600823045267494,74.48559670781893,4.917695473251029
Particulate matter formation,MADIMBA,6.96629213483146,1.292134831460674,75.84269662921349,2.971910112359551
Particulate matter formation,KINSHASA,10.786516853932584,12.921348314606742,75.84269662921349,0.2971910112359551
Particulate matter formation,MATADI,3.769662921348315,0.9662921348314606,3.488764044943821,5.95505617977528
Particulate matter formation,PLATEAU,10.786516853932584,2.584269662921348,75.84269662921349,4.460674157303371
Terrestrial ecotoxicity,MADIMBA,4.886792452830189,3.2264150943396226,59.43396226415094,7.424528301886793
Terrestrial ecotoxicity,KINSHASA,7.830188679245283,32.26415094339623,59.43396226415094,0.7424528301886792
Terrestrial ecotoxicity,MATADI,2.509433962264151,1.952830188679245,4.122641509433962,14.81132075471698
Terrestrial ecotoxicity,PLATEAU,7.830188679245283,6.452830188679245,59.43396226415094,11.132075471698114
Freshwater ecotoxicity,MADIMBA,4.780058651026392,1.7360703812316716,74.48680351906158,3.988269794721407
Freshwater ecotoxicity,KINSHASA,7.6246334310850425,17.360703812316718,74.48680351906158,0.39882697947214074
Freshwater ecotoxicity,MATADI,2.442815249266862,1.9296187683284456,16.9208211143695,7.976539589442814
Freshwater ecotoxicity,PLATEAU,7.6246334310850425,3.4604105571847503,74.48680351906158,5.9824046920821115
Marine ecotoxicity,MADIMBA,4.462915601023018,3.478260869565217,57.41687979539641,7.9923273657289
Marine ecotoxicity,KINSHASA,7.135549872122763,34.78260869565217,57.41687979539641,0.7992327365728901
Marine ecotoxicity,MATADI,2.289002557544757,2.37851662404092,7.506393861892584,15.9846547314578
Marine ecotoxicity,PLATEAU,7.135549872122763,6.943734015345268,57.41687979539641,11.982097186700766
Lonising radiation,MADIMBA,5.6272401433691766,2.1469534050179213,69.17562724014338,4.946236559139785
Lonising radiation,KINSHASA,9.03225806451613,21.469534050179213,69.17562724014338,0.49462365591397855
Lonising radiation,MATADI,2.885304659498208,2.985663082437276,27.132616487455202,9.85663082437276
Lonising radiation,PLATEAU,9.03225806451613,4.301075268817205,69.17562724014338,7.419354838709677
Agricultural land occupation,MADIMBA,7.544529262086515,0.1297709923664122,86.51399491094148,0.2977099236641222
Agricultural land occupation,KINSHASA,12.061068702290077,1.2977099236641223,86.51399491094148,0.02977099236641222
Agricultural land occupation,MATADI,3.8676844783715016,0.015267175572519085,0.44020356234096686,0.5954198473282444
Agricultural land occupation,PLATEAU,12.061068702290077,0.2582697201017812,86.51399491094148,0.44656488549618323
Urban land occupation,MADIMBA,6.175115207373272,1.8986175115207373,70.50691244239631,4.368663594470046
Urban land occupation,KINSHASA,9.861751152073733,18.986175115207374,70.50691244239631,0.43686635944700464
Urban land occupation,MATADI,3.15668202764977,0.010092165898617512,1.0460829493087558,8.755760368663594
Urban land occupation,PLATEAU,9.861751152073733,3.7972350230414746,70.50691244239631,6.5437788018433185
Natural land transformation,MADIMBA,5.871794871794871,2.2628205128205128,67.3076923076923,5.198717948717948
Natural land transformation,KINSHASA,9.423076923076923,22.628205128205128,67.3076923076923,0.5198717948717948
Natural land transformation,MATADI,3.0064102564102564,0.011794871794871795,29.423076923076923,10.384615384615383
Natural land transformation,PLATEAU,9.423076923076923,4.519230769230769,67.3076923076923,7.82051282051282
Water depletion,MADIMBA,1.273851590106007,0.46996466431095407,93.1095406360424,1.0812720848056536
Water depletion,KINSHASA,2.0318021201413425,4.699646643109541,93.1095406360424,0.10812720848056537
Water depletion,MATADI,0.6519434628975265,0.013462897526501767,66.96113074204946,2.15547703180212
Water depletion,PLATEAU,2.0318021201413425,0.9399293286219081,93.1095406360424,1.6236749116607774
Metal depletion,MADIMBA,7.0696721311475414,0.7622950819672131,80.94262295081968,1.7540983606557377
Metal depletion,KINSHASA,11.311475409836065,7.622950819672132,80.94262295081968,0.17540983606557375
Metal depletion,MATADI,3.627049180327869,0.04610655737704918,1.6045081967213117,3.5040983606557377
Metal depletion,PLATEAU,11.311475409836065,1.5266393442622952,80.94262295081968,2.6229508196721314
Fossil depletion,MADIMBA,5.531791907514451,1.9364161849710984,71.09826589595376,4.4508670520231215
Fossil depletion,KINSHASA,8.84393063583815,19.36416184971098,71.09826589595376,0.4450867052023122
Fossil depletion,MATADI,2.8323699421965323,2.682080924855491,25.14450867052023,8.901734104046243
Fossil depletion,PLATEAU,8.84393063583815,3.8670520231213876,71.09826589595376,6.6473988439306355
